,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1231,0.00039992332458496096,0.0004898041858020194,0.0006000041961669922,0.0004899020786294758,5,3,2.154434690031878,sigmoid,"{'C': 5, 'degree': 3, 'gamma': 2.154434690031878, 'kernel': 'sigmoid'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,1149
1383,0.0006000041961669922,0.0004899014288601227,0.0004002571105957031,0.000490214721933565,10,3,0.004641588833612773,sigmoid,"{'C': 10, 'degree': 3, 'gamma': 0.004641588833612773, 'kernel': 'sigmoid'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,1149
1223,0.0002002716064453125,0.000400543212890625,0.000599813461303711,0.0004897467778064176,5,3,0.004641588833612773,sigmoid,"{'C': 5, 'degree': 3, 'gamma': 0.004641588833612773, 'kernel': 'sigmoid'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,1149
1431,0.0,0.0,0.0,0.0,10,4,2.154434690031878,sigmoid,"{'C': 10, 'degree': 4, 'gamma': 2.154434690031878, 'kernel': 'sigmoid'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,1149
1419,0.00019998550415039061,0.0003999710083007812,0.0006001949310302735,0.0004900571632066482,10,4,0.00021544346900318823,sigmoid,"{'C': 10, 'degree': 4, 'gamma': 0.00021544346900318823, 'kernel': 'sigmoid'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,1149
1423,0.0002002716064453125,0.000400543212890625,0.00020003318786621094,0.0004000663757324219,10,4,0.004641588833612773,sigmoid,"{'C': 10, 'degree': 4, 'gamma': 0.004641588833612773, 'kernel': 'sigmoid'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,1149
1227,0.0,0.0,0.0007999897003173828,0.0003999955429461782,5,3,0.1,sigmoid,"{'C': 5, 'degree': 3, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,1149
1195,0.00040035247802734376,0.0004903300151855207,0.00020003318786621094,0.0004000663757324219,5,2,46.41588833612773,sigmoid,"{'C': 5, 'degree': 2, 'gamma': 46.41588833612773, 'kernel': 'sigmoid'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,1149
1399,0.00019898414611816407,0.00039796829223632814,0.0007987022399902344,0.00039935913362576075,10,3,1000.0,sigmoid,"{'C': 10, 'degree': 3, 'gamma': 1000.0, 'kernel': 'sigmoid'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,1149
1311,0.00020012855529785156,0.0004002571105957031,0.0006001949310302735,0.0004900572560013958,10,1,2.154434690031878,sigmoid,"{'C': 10, 'degree': 1, 'gamma': 2.154434690031878, 'kernel': 'sigmoid'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,1149
